epoch,slot,user_id,chosen_angle_deg,chosen_width_deg,chosen_beam_id,snr
0,114,101,-20.0,40.0,14,39.9102
0,115,2,0.0,40.0,20,-10.0
0,116,101,-30.0,60.0,12,42.7792
0,117,2,-10.0,60.0,18,-10.0
0,118,101,-30.0,20.0,10,43.3524
0,119,2,0.0,60.0,21,33.6637
0,120,101,-30.0,40.0,11,43.2537
0,121,2,10.0,20.0,22,29.049
0,122,101,-40.0,40.0,8,43.9328
0,123,2,-30.0,40.0,11,24.4655
0,124,101,-20.0,20.0,13,38.9904
0,125,2,10.0,20.0,22,30.3784
0,126,101,10.0,60.0,24,32.3527
0,127,2,-10.0,40.0,17,35.0504
0,128,101,-30.0,20.0,10,43.3444
0,129,2,0.0,40.0,20,-10.0
0,130,101,10.0,40.0,23,31.6965
0,131,2,20.0,40.0,26,-10.0
0,132,101,-40.0,40.0,8,45.332
0,133,2,10.0,60.0,24,30.4997
0,134,101,-50.0,40.0,5,42.0772
0,135,2,-10.0,60.0,18,-10.0
0,136,101,-40.0,40.0,8,44.4315
0,137,2,-10.0,20.0,16,35.3294
0,138,101,-60.0,40.0,2,38.9652
0,139,2,20.0,40.0,26,-10.0
0,140,101,-30.0,60.0,12,42.6399
0,141,2,10.0,40.0,23,30.9299
0,142,101,-20.0,40.0,14,40.021
0,143,2,-10.0,20.0,16,35.2045
0,144,101,-30.0,20.0,10,43.0332
0,145,101,-30.0,20.0,10,43.3524
0,146,101,-30.0,40.0,11,44.0665
0,147,101,-50.0,40.0,5,42.8201
0,148,101,-30.0,60.0,12,42.6399
0,149,101,-40.0,40.0,8,43.4566
0,150,101,-30.0,60.0,12,44.3406
0,151,101,-30.0,20.0,10,-10.0
0,152,101,10.0,60.0,24,32.3527
0,153,101,-30.0,40.0,11,-10.0
0,154,101,-40.0,60.0,9,-10.0
0,155,101,-60.0,20.0,1,39.5663
0,156,101,-30.0,20.0,10,42.3419
0,157,101,-20.0,20.0,13,38.4586
0,158,101,-40.0,40.0,8,45.332
0,159,101,-50.0,40.0,5,41.9109
0,160,101,-30.0,40.0,11,43.3929
0,161,101,-30.0,40.0,11,44.0665
0,162,101,10.0,20.0,22,32.128
0,163,101,-30.0,40.0,11,-10.0
0,164,101,-50.0,20.0,4,42.0551
0,165,101,-30.0,60.0,12,-10.0
0,166,101,-10.0,20.0,16,28.5814
0,167,101,-20.0,20.0,13,38.9904
0,168,101,10.0,60.0,24,31.8853
0,169,101,-10.0,60.0,18,28.146
0,170,101,-40.0,40.0,8,42.8256
0,171,101,-30.0,40.0,11,-10.0
0,172,101,-30.0,60.0,12,42.8344
0,173,101,-30.0,40.0,11,43.3005
0,174,101,-10.0,60.0,18,29.465
0,175,101,-50.0,20.0,4,43.0852
0,176,101,-30.0,40.0,11,43.3005
0,177,101,-30.0,20.0,10,-10.0
0,178,101,-30.0,40.0,11,-10.0
0,179,101,-40.0,40.0,8,43.9328
0,180,101,-30.0,20.0,10,43.4434
0,181,101,-30.0,60.0,12,41.7433
0,182,101,-30.0,40.0,11,-10.0
0,183,101,-60.0,40.0,2,39.0407
0,184,101,-30.0,60.0,12,45.0854
0,185,101,-60.0,40.0,2,38.9652
0,186,101,-20.0,60.0,15,39.1162
0,187,101,-30.0,20.0,10,43.0332
0,188,101,-30.0,20.0,10,-10.0
0,189,101,-40.0,20.0,7,43.9812
0,190,101,-50.0,20.0,4,42.9176
0,191,101,-30.0,60.0,12,43.3681
0,192,101,-30.0,60.0,12,43.4681
0,193,101,-50.0,20.0,4,38.5707
0,194,101,-30.0,60.0,12,43.3681
0,195,101,-30.0,40.0,11,42.841
0,196,101,-50.0,20.0,4,42.2066
0,197,101,-30.0,60.0,12,43.4681
0,198,101,-30.0,60.0,12,45.0854
0,199,101,-30.0,60.0,12,44.3406
0,200,101,10.0,60.0,24,32.7348
0,201,101,-30.0,20.0,10,43.7335
0,202,101,30.0,20.0,28,26.7089
0,203,101,-20.0,20.0,13,39.6685
0,204,101,-40.0,60.0,9,43.1475
0,205,101,-20.0,40.0,14,40.021
0,206,101,-30.0,60.0,12,42.6399
0,207,101,-30.0,20.0,10,42.3419
0,208,101,-20.0,60.0,15,-10.0
0,209,101,-30.0,60.0,12,44.3406
0,210,101,-30.0,40.0,11,44.0665
0,211,101,-30.0,60.0,12,-10.0
0,212,101,-40.0,20.0,7,43.6478
0,213,101,-30.0,60.0,12,44.3406
0,214,101,-20.0,20.0,13,39.8438
0,215,101,-30.0,20.0,10,43.4434
0,216,101,-30.0,60.0,12,45.0854
0,217,101,10.0,60.0,24,31.8853
0,218,101,-30.0,60.0,12,42.8344
0,219,101,-30.0,60.0,12,43.4681
0,220,101,-30.0,40.0,11,44.4681
0,221,101,10.0,20.0,22,32.5104
0,222,101,-30.0,40.0,11,43.3005
0,223,101,40.0,60.0,33,32.5629
0,224,101,-50.0,40.0,5,42.5772
0,225,101,-20.0,60.0,15,38.8146
0,226,101,-20.0,40.0,14,-10.0
0,227,101,-50.0,60.0,6,42.651
0,228,101,-30.0,40.0,11,42.841
0,229,101,-30.0,20.0,10,43.3444
0,230,101,-30.0,20.0,10,42.2083
0,231,101,-30.0,20.0,10,-10.0
0,232,101,-40.0,60.0,9,-10.0
0,233,101,-20.0,60.0,15,39.1162
0,234,101,-50.0,60.0,6,41.6164
0,235,101,-30.0,60.0,12,44.3406
0,236,101,-50.0,60.0,6,-10.0
0,237,101,-50.0,60.0,6,41.7929
0,238,101,-30.0,60.0,12,42.7792
0,239,101,10.0,20.0,22,31.8687
0,240,101,10.0,60.0,24,31.7118
0,241,101,-50.0,60.0,6,42.651
0,242,101,10.0,40.0,23,32.5902
0,243,101,10.0,40.0,23,33.2293
0,244,101,-20.0,60.0,15,39.1162
0,245,101,-30.0,40.0,11,-10.0
0,246,101,-30.0,40.0,11,44.1963
0,247,101,-30.0,20.0,10,-10.0
0,248,101,-30.0,40.0,11,42.841
0,249,101,20.0,20.0,25,23.1444
0,250,101,-30.0,60.0,12,42.7792
0,251,101,-20.0,60.0,15,40.2523
0,252,101,0.0,60.0,21,28.6796
0,253,101,-30.0,60.0,12,-10.0
0,254,101,10.0,20.0,22,33.056
0,255,101,-50.0,60.0,6,41.6619
0,256,2,40.0,60.0,33,17.3622
0,257,101,-30.0,40.0,11,43.3005
0,258,2,-50.0,60.0,6,-10.0
0,259,101,-20.0,60.0,15,39.1162
0,260,2,0.0,40.0,20,34.0208
0,261,101,-30.0,60.0,12,-10.0
0,262,2,10.0,20.0,22,34.4445
0,263,101,-30.0,60.0,12,41.7433
0,264,2,10.0,60.0,24,35.0244
0,265,101,-30.0,60.0,12,42.8344
0,266,2,-10.0,20.0,16,30.8883
0,267,101,-30.0,60.0,12,43.4681
0,268,2,-60.0,40.0,2,-10.0
0,269,101,-50.0,40.0,5,42.8201
0,270,2,20.0,60.0,27,32.0396
0,271,101,-30.0,40.0,11,43.3929
0,272,2,0.0,40.0,20,34.5161
0,273,101,-30.0,60.0,12,-10.0
0,274,2,10.0,60.0,24,35.2965
0,275,101,-30.0,20.0,10,42.3419
0,276,2,10.0,20.0,22,33.7173
0,277,101,10.0,40.0,23,32.1444
0,278,2,0.0,40.0,20,34.7561
0,279,101,-30.0,40.0,11,43.2537
0,280,2,0.0,40.0,20,34.5221
0,281,101,10.0,60.0,24,32.3527
0,282,2,0.0,40.0,20,34.3297
0,283,101,-30.0,60.0,12,-10.0
0,284,2,0.0,60.0,21,33.5139
0,285,101,-50.0,40.0,5,42.1358
0,286,2,0.0,60.0,21,32.8101
0,287,101,10.0,40.0,23,31.5601
0,288,2,0.0,20.0,19,33.6482
0,289,101,-30.0,60.0,12,-10.0
0,290,2,0.0,40.0,20,33.7535
0,291,101,-30.0,40.0,11,44.4681
0,292,2,10.0,40.0,23,34.6331
0,293,101,-30.0,60.0,12,42.6399
0,294,2,0.0,60.0,21,34.533
0,295,101,-30.0,60.0,12,42.7792
0,296,2,0.0,60.0,21,34.5678
0,297,101,-50.0,20.0,4,38.5707
0,298,2,0.0,60.0,21,-10.0
0,299,101,-50.0,40.0,5,42.8201
0,300,2,10.0,20.0,22,34.9639
0,301,101,-30.0,40.0,11,43.3929
0,302,2,20.0,20.0,25,32.3119
0,303,101,-30.0,20.0,10,-10.0
0,304,2,-10.0,60.0,18,29.018
0,305,101,10.0,20.0,22,32.128
0,306,2,0.0,60.0,21,33.7343
0,307,101,-30.0,60.0,12,44.3406
0,308,2,0.0,60.0,21,-10.0
0,309,101,-30.0,20.0,10,42.8962
0,310,2,10.0,20.0,22,-10.0
0,311,101,0.0,60.0,21,28.6796
0,312,2,-10.0,40.0,17,-10.0
0,313,101,-30.0,40.0,11,44.4681
0,314,2,10.0,40.0,23,34.9074
0,315,101,10.0,60.0,24,31.8667
0,316,2,0.0,40.0,20,-10.0
0,317,101,-30.0,60.0,12,43.3681
0,318,2,10.0,60.0,24,35.1716
0,319,101,-30.0,40.0,11,44.0665
0,320,2,0.0,60.0,21,31.2869
0,321,101,-20.0,60.0,15,-10.0
0,322,2,-10.0,40.0,17,-10.0
0,323,101,-30.0,60.0,12,-10.0
0,324,2,-10.0,60.0,18,25.956
0,325,101,-30.0,40.0,11,44.1963
0,326,2,-10.0,40.0,17,25.7098
0,327,101,-30.0,60.0,12,42.6399
0,328,2,-20.0,60.0,15,8.106
0,329,101,-30.0,60.0,12,-10.0
0,330,2,0.0,60.0,21,-10.0
0,331,101,-30.0,40.0,11,44.1963
0,332,2,10.0,60.0,24,35.0733
0,333,101,-20.0,20.0,13,-10.0
0,334,2,-10.0,40.0,17,-10.0
0,335,101,-40.0,60.0,9,-10.0
0,336,2,0.0,40.0,20,33.6427
0,337,101,-30.0,20.0,10,43.3524
0,338,2,0.0,40.0,20,32.3625
0,339,101,-40.0,60.0,9,44.7336
0,340,2,0.0,60.0,21,-10.0
0,341,101,10.0,60.0,24,32.6784
0,342,2,0.0,40.0,20,32.212
0,343,101,-30.0,60.0,12,45.0854
0,344,2,-30.0,60.0,12,23.8561
0,345,101,-60.0,60.0,3,39.4876
0,346,2,0.0,40.0,20,32.7856
0,347,101,-30.0,60.0,12,43.4681
0,348,2,10.0,40.0,23,34.4463
0,349,101,-30.0,60.0,12,44.3406
0,350,2,0.0,60.0,21,31.0169
0,351,101,-30.0,20.0,10,43.4434
0,352,2,10.0,40.0,23,33.4397
0,353,101,-20.0,60.0,15,-10.0
0,354,2,0.0,40.0,20,-10.0
0,355,101,10.0,60.0,24,31.8853
0,356,2,10.0,40.0,23,33.8567
0,357,101,-50.0,20.0,4,43.0852
0,358,2,-50.0,20.0,4,-10.0
0,359,101,-30.0,40.0,11,43.2537
0,360,2,0.0,20.0,19,-10.0
0,361,101,-30.0,40.0,11,42.841
0,362,2,0.0,60.0,21,30.8435
0,363,101,-30.0,60.0,12,45.0854
0,364,2,0.0,40.0,20,31.6394
0,365,101,-30.0,60.0,12,45.0854
0,366,2,0.0,20.0,19,-10.0
0,367,101,-30.0,60.0,12,42.6399
0,368,2,0.0,60.0,21,32.4627
0,369,101,-60.0,60.0,3,40.5512
0,370,2,0.0,60.0,21,30.9692
0,371,101,-40.0,20.0,7,43.5106
0,372,2,0.0,60.0,21,-10.0
0,373,101,-30.0,20.0,10,43.0332
0,374,2,20.0,60.0,27,33.2471
0,375,101,-40.0,60.0,9,43.2351
0,376,2,30.0,40.0,29,32.5951
0,377,101,-30.0,20.0,10,-10.0
0,378,2,-30.0,20.0,10,23.665
0,379,101,-30.0,40.0,11,43.3929
0,380,2,0.0,40.0,20,-10.0
0,381,101,-30.0,20.0,10,43.4434
0,382,2,0.0,40.0,20,30.5834
0,383,101,-20.0,20.0,13,39.8438
0,384,2,0.0,60.0,21,30.665
0,385,101,-30.0,20.0,10,-10.0
0,386,2,10.0,40.0,23,34.0394
0,387,101,10.0,60.0,24,32.3527
0,388,2,0.0,60.0,21,31.9089
0,389,101,-10.0,40.0,17,-10.0
0,390,2,0.0,20.0,19,-10.0
0,391,101,-30.0,60.0,12,43.4681
0,392,2,-10.0,60.0,18,17.5971
0,393,101,-30.0,60.0,12,42.7792
0,394,2,0.0,20.0,19,30.2266
0,395,101,-40.0,60.0,9,-10.0
0,396,2,0.0,60.0,21,-10.0
0,397,101,10.0,60.0,24,33.1233
0,398,101,0,180,0,
0,399,101,0,180,0,
