time_slot,n_visible,ids,x_m,y_m,range_m,angle_deg,blockage_xmin,blockage_xmax,n_blockage_cells,dt_s
47,2,"2,101","-3.060,0.500","7.500,3.000","8.100,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.20,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
48,2,"2,101","-3.040,0.500","7.500,3.000","8.093,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-22.06,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
49,2,"2,101","-3.020,0.500","7.500,3.000","8.085,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.93,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
50,2,"2,101","-3.000,0.500","7.500,3.000","8.078,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.80,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
51,2,"2,101","-2.980,0.500","7.500,3.000","8.070,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.67,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
52,2,"2,101","-2.960,0.500","7.500,3.000","8.063,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.54,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
53,2,"2,101","-2.940,0.500","7.500,3.000","8.056,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.41,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
54,2,"2,101","-2.920,0.500","7.500,3.000","8.048,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.27,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
55,2,"2,101","-2.900,0.500","7.500,3.000","8.041,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.14,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
56,2,"2,101","-2.880,0.500","7.500,3.000","8.034,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-21.01,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
57,2,"2,101","-2.860,0.500","7.500,3.000","8.027,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-20.87,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
58,2,"2,101","-2.840,0.500","7.500,3.000","8.020,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-20.74,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
59,2,"2,101","-2.820,0.500","7.500,3.000","8.013,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-20.61,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
60,2,"2,101","-2.800,0.500","7.500,3.000","8.006,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-20.47,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
61,2,"2,101","-2.780,0.500","7.500,3.000","7.999,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-20.34,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
62,2,"2,101","-2.760,0.500","7.500,3.000","7.992,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-20.20,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
63,2,"2,101","-2.740,0.500","7.500,3.000","7.985,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-20.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
64,2,"2,101","-2.720,0.500","7.500,3.000","7.978,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-19.93,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
65,2,"2,101","-2.700,0.500","7.500,3.000","7.971,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-19.80,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
66,2,"2,101","-2.680,0.500","7.500,3.000","7.964,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-19.66,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
67,2,"2,101","-2.660,0.500","7.500,3.000","7.958,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-19.53,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
68,2,"2,101","-2.640,0.500","7.500,3.000","7.951,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-19.39,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
69,2,"2,101","-2.620,0.500","7.500,3.000","7.944,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-19.26,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
70,2,"2,101","-2.600,0.500","7.500,3.000","7.938,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-19.12,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
71,2,"2,101","-2.580,0.500","7.500,3.000","7.931,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.98,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
72,2,"2,101","-2.560,0.500","7.500,3.000","7.925,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.85,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
73,2,"2,101","-2.540,0.500","7.500,3.000","7.918,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.71,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
74,2,"2,101","-2.520,0.500","7.500,3.000","7.912,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.57,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
75,2,"2,101","-2.500,0.500","7.500,3.000","7.906,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.43,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
76,2,"2,101","-2.480,0.500","7.500,3.000","7.899,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.30,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
77,2,"2,101","-2.460,0.500","7.500,3.000","7.893,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.16,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
78,2,"2,101","-2.440,0.500","7.500,3.000","7.887,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-18.02,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
79,2,"2,101","-2.420,0.500","7.500,3.000","7.881,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-17.88,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
80,2,"2,101","-2.400,0.500","7.500,3.000","7.875,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-17.74,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
81,2,"2,101","-2.380,0.500","7.500,3.000","7.869,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-17.61,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
82,2,"2,101","-2.360,0.500","7.500,3.000","7.863,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-17.47,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
83,2,"2,101","-2.340,0.500","7.500,3.000","7.857,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-17.33,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
84,2,"2,101","-2.320,0.500","7.500,3.000","7.851,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-17.19,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
85,2,"2,101","-2.300,0.500","7.500,3.000","7.845,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-17.05,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
86,2,"2,101","-2.280,0.500","7.500,3.000","7.839,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-16.91,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
87,2,"2,101","-2.260,0.500","7.500,3.000","7.833,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-16.77,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
88,2,"2,101","-2.240,0.500","7.500,3.000","7.827,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-16.63,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
89,2,"2,101","-2.220,0.500","7.500,3.000","7.822,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-16.49,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
90,2,"2,101","-2.200,0.500","7.500,3.000","7.816,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-16.35,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
91,2,"2,101","-2.180,0.500","7.500,3.000","7.810,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-16.21,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
92,2,"2,101","-2.160,0.500","7.500,3.000","7.805,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-16.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
93,2,"2,101","-2.140,0.500","7.500,3.000","7.799,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-15.93,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
94,2,"2,101","-2.120,0.500","7.500,3.000","7.794,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-15.78,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
95,2,"2,101","-2.100,0.500","7.500,3.000","7.788,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-15.64,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
96,2,"2,101","-2.080,0.500","7.500,3.000","7.783,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-15.50,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
97,2,"2,101","-2.060,0.500","7.500,3.000","7.778,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-15.36,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
98,2,"2,101","-2.040,0.500","7.500,3.000","7.772,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-15.22,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
99,2,"2,101","-2.020,0.500","7.500,3.000","7.767,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-15.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
100,2,"2,101","-2.000,0.500","7.500,3.000","7.762,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-14.93,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
101,2,"2,101","-1.980,0.500","7.500,3.000","7.757,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-14.79,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
102,2,"2,101","-1.960,0.500","7.500,3.000","7.752,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-14.65,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
103,2,"2,101","-1.940,0.500","7.500,3.000","7.747,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-14.50,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
104,2,"2,101","-1.920,0.500","7.500,3.000","7.742,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-14.36,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
105,2,"2,101","-1.900,0.500","7.500,3.000","7.737,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-14.22,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
106,2,"2,101","-1.880,0.500","7.500,3.000","7.732,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-14.07,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
107,2,"2,101","-1.860,0.500","7.500,3.000","7.727,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-13.93,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
108,2,"2,101","-1.840,0.500","7.500,3.000","7.722,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-13.78,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
109,2,"2,101","-1.820,0.500","7.500,3.000","7.718,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-13.64,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
110,2,"2,101","-1.800,0.500","7.500,3.000","7.713,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-13.50,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
111,2,"2,101","-1.780,0.500","7.500,3.000","7.708,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-13.35,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
112,2,"2,101","-1.760,0.500","7.500,3.000","7.704,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-13.21,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
113,2,"2,101","-1.740,0.500","7.500,3.000","7.699,3.041,5.283,5.313,5.345,5.378,5.413,5.450,5.489,5.529","-13.06,9.46,17.06,18.09,19.11,20.12,21.11,22.09,23.06,24.02",1.5,2.3,8,0.1
