time_slot,target_id,type,x_m,y_m,range_m,angle_deg
18,101,static,-1.5,2.0,2.5,-36.86989764584402
19,2,moving,-1.8099999999999998,7.0,7.230221296751573,-14.49752122669467
19,101,static,-1.5,2.0,2.5,-36.86989764584402
20,2,moving,-1.7999999999999998,7.0,7.227724399837061,-14.420773127510985
20,101,static,-1.5,2.0,2.5,-36.86989764584402
21,2,moving,-1.7899999999999998,7.0,7.2252404804269315,-14.343972120965223
21,101,static,-1.5,2.0,2.5,-36.86989764584402
22,2,moving,-1.7799999999999998,7.0,7.222769551910126,-14.267118428599506
22,101,static,-1.5,2.0,2.5,-36.86989764584402
23,2,moving,-1.7699999999999998,7.0,7.220311627623838,-14.190212273018348
23,101,static,-1.5,2.0,2.5,-36.86989764584402
24,2,moving,-1.7599999999999998,7.0,7.217866720853191,-14.11325387788646
24,101,static,-1.5,2.0,2.5,-36.86989764584402
25,2,moving,-1.7499999999999998,7.0,7.215434844830906,-14.036243467926477
25,101,static,-1.5,2.0,2.5,-36.86989764584402
26,2,moving,-1.7399999999999998,7.0,7.213016012736975,-13.959181268916652
26,101,static,-1.5,2.0,2.5,-36.86989764584402
27,2,moving,-1.7299999999999998,7.0,7.210610237698332,-13.88206750768849
27,101,static,-1.5,2.0,2.5,-36.86989764584402
28,2,moving,-1.7199999999999998,7.0,7.208217532788533,-13.804902412124346
28,101,static,-1.5,2.0,2.5,-36.86989764584402
29,2,moving,-1.7099999999999997,7.0,7.205837911027419,-13.72768621115497
29,101,static,-1.5,2.0,2.5,-36.86989764584402
30,2,moving,-1.6999999999999997,7.0,7.2034713853808015,-13.650419134756989
30,101,static,-1.5,2.0,2.5,-36.86989764584402
31,2,moving,-1.6899999999999997,7.0,7.201117968760128,-13.573101413950372
31,101,static,-1.5,2.0,2.5,-36.86989764584402
32,2,moving,-1.6799999999999997,7.0,7.198777674022167,-13.495733280795811
32,101,static,-1.5,2.0,2.5,-36.86989764584402
33,2,moving,-1.6699999999999997,7.0,7.196450513968674,-13.418314968392076
33,101,static,-1.5,2.0,2.5,-36.86989764584402
34,2,moving,-1.6599999999999997,7.0,7.194136501346079,-13.340846710873322
34,101,static,-1.5,2.0,2.5,-36.86989764584402
35,2,moving,-1.6499999999999997,7.0,7.191835648845154,-13.263328743406325
35,101,static,-1.5,2.0,2.5,-36.86989764584402
36,2,moving,-1.6399999999999997,7.0,7.1895479691007,-13.185761302187698
36,101,static,-1.5,2.0,2.5,-36.86989764584402
37,2,moving,-1.6299999999999997,7.0,7.18727347469122,-13.108144624441039
37,101,static,-1.5,2.0,2.5,-36.86989764584402
38,2,moving,-1.6199999999999997,7.0,7.1850121781386,-13.030478948414034
38,101,static,-1.5,2.0,2.5,-36.86989764584402
39,2,moving,-1.6099999999999997,7.0,7.182764091907794,-12.952764513375516
39,101,static,-1.5,2.0,2.5,-36.86989764584402
40,2,moving,-1.5999999999999996,7.0,7.180529228406496,-12.875001559612473
40,101,static,-1.5,2.0,2.5,-36.86989764584402
41,2,moving,-1.5899999999999996,7.0,7.178307599984832,-12.797190328427
41,101,static,-1.5,2.0,2.5,-36.86989764584402
42,2,moving,-1.5799999999999996,7.0,7.176099218935033,-12.719331062133215
42,101,static,-1.5,2.0,2.5,-36.86989764584402
43,2,moving,-1.5699999999999996,7.0,7.173904097491128,-12.641424004054109
43,101,static,-1.5,2.0,2.5,-36.86989764584402
44,2,moving,-1.5599999999999996,7.0,7.171722247828621,-12.563469398518375
44,101,static,-1.5,2.0,2.5,-36.86989764584402
45,2,moving,-1.5499999999999996,7.0,7.169553682064177,-12.485467490857149
45,101,static,-1.5,2.0,2.5,-36.86989764584402
46,2,moving,-1.5399999999999996,7.0,7.167398412255314,-12.407418527400742
46,101,static,-1.5,2.0,2.5,-36.86989764584402
47,2,moving,-1.5299999999999996,7.0,7.165256450400083,-12.329322755475289
47,101,static,-1.5,2.0,2.5,-36.86989764584402
48,2,moving,-1.5199999999999996,7.0,7.163127808436759,-12.251180423399376
48,101,static,-1.5,2.0,2.5,-36.86989764584402
49,2,moving,-1.5099999999999996,7.0,7.161012498243527,-12.172991780480602
49,101,static,-1.5,2.0,2.5,-36.86989764584402
50,2,moving,-1.4999999999999996,7.0,7.158910531638177,-12.094757077012098
50,101,static,-1.5,2.0,2.5,-36.86989764584402
51,2,moving,-1.4899999999999995,7.0,7.156821920377787,-12.016476564268991
51,101,static,-1.5,2.0,2.5,-36.86989764584402
52,2,moving,-1.4799999999999995,7.0,7.154746676158423,-11.938150494504837
52,101,static,-1.5,2.0,2.5,-36.86989764584402
53,2,moving,-1.4699999999999995,7.0,7.152684810614822,-11.859779120947975
53,101,static,-1.5,2.0,2.5,-36.86989764584402
54,2,moving,-1.4599999999999995,7.0,7.150636335320095,-11.781362697797867
54,101,static,-1.5,2.0,2.5,-36.86989764584402
55,2,moving,-1.4499999999999995,7.0,7.148601261785413,-11.70290148022136
55,101,static,-1.5,2.0,2.5,-36.86989764584402
56,2,moving,-1.4399999999999995,7.0,7.146579601459708,-11.62439572434892
56,101,static,-1.5,2.0,2.5,-36.86989764584402
57,2,moving,-1.4299999999999995,7.0,7.144571365729368,-11.545845687270804
57,101,static,-1.5,2.0,2.5,-36.86989764584402
58,2,moving,-1.4199999999999995,7.0,7.142576565917932,-11.467251627033187
58,101,static,-1.5,2.0,2.5,-36.86989764584402
59,2,moving,-1.4099999999999995,7.0,7.140595213285795,-11.388613802634252
59,101,static,-1.5,2.0,2.5,-36.86989764584402
60,2,moving,-1.3999999999999995,7.0,7.138627319029899,-11.30993247402021
60,101,static,-1.5,2.0,2.5,-36.86989764584402
61,2,moving,-1.3899999999999995,7.0,7.136672894283442,-11.23120790208129
61,101,static,-1.5,2.0,2.5,-36.86989764584402
62,2,moving,-1.3799999999999994,7.0,7.134731950115575,-11.152440348647676
62,101,static,-1.5,2.0,2.5,-36.86989764584402
63,2,moving,-1.3699999999999994,7.0,7.132804497531108,-11.073630076485388
63,101,static,-1.5,2.0,2.5,-36.86989764584402
64,2,moving,-1.3599999999999994,7.0,7.1308905474702104,-10.994777349292129
64,101,static,-1.5,2.0,2.5,-36.86989764584402
65,2,moving,-1.3499999999999994,7.0,7.128990110808122,-10.915882431693069
65,101,static,-1.5,2.0,2.5,-36.86989764584402
66,2,moving,-1.3399999999999994,7.0,7.127103198354854,-10.836945589236594
66,101,static,-1.5,2.0,2.5,-36.86989764584402
67,2,moving,-1.3299999999999994,7.0,7.125229820854903,-10.757967088389998
67,101,static,-1.5,2.0,2.5,-36.86989764584402
68,2,moving,-1.3199999999999994,7.0,7.123369988986954,-10.678947196535136
68,101,static,-1.5,2.0,2.5,-36.86989764584402
69,2,moving,-1.3099999999999994,7.0,7.121523713363595,-10.599886181964015
69,101,static,-1.5,2.0,2.5,-36.86989764584402
70,2,moving,-1.2999999999999994,7.0,7.119691004531025,-10.520784313874357
70,101,static,-1.5,2.0,2.5,-36.86989764584402
71,2,moving,-1.2899999999999994,7.0,7.117871872968774,-10.4416418623651
71,101,static,-1.5,2.0,2.5,-36.86989764584402
72,2,moving,-1.2799999999999994,7.0,7.116066329089407,-10.36245909843186
72,101,static,-1.5,2.0,2.5,-36.86989764584402
73,2,moving,-1.2699999999999994,7.0,7.114274383238251,-10.283236293962336
73,101,static,-1.5,2.0,2.5,-36.86989764584402
74,2,moving,-1.2599999999999993,7.0,7.112496045693101,-10.203973721731678
74,101,static,-1.5,2.0,2.5,-36.86989764584402
75,2,moving,-1.2499999999999993,7.0,7.110731326663946,-10.124671655397812
75,101,static,-1.5,2.0,2.5,-36.86989764584402
76,2,moving,-1.2399999999999993,7.0,7.108980236292685,-10.045330369496693
76,101,static,-1.5,2.0,2.5,-36.86989764584402
77,2,moving,-1.2299999999999993,7.0,7.10724278465285,-9.96595013943755
77,101,static,-1.5,2.0,2.5,-36.86989764584402
78,2,moving,-1.2199999999999993,7.0,7.105518981749327,-9.88653124149805
78,101,static,-1.5,2.0,2.5,-36.86989764584402
79,2,moving,-1.2099999999999993,7.0,7.1038088375180815,-9.807073952819431
79,101,static,-1.5,2.0,2.5,-36.86989764584402
80,2,moving,-1.1999999999999993,7.0,7.102112361825881,-9.7275785514016
80,101,static,-1.5,2.0,2.5,-36.86989764584402
81,2,moving,-1.1899999999999993,7.0,7.1004295644700255,-9.648045316098152
81,101,static,-1.5,2.0,2.5,-36.86989764584402
82,2,moving,-1.1799999999999993,7.0,7.0987604551780725,-9.568474526611382
82,101,static,-1.5,2.0,2.5,-36.86989764584402
83,2,moving,-1.1699999999999993,7.0,7.097105043607569,-9.488866463487229
83,101,static,-1.5,2.0,2.5,-36.86989764584402
84,2,moving,-1.1599999999999993,7.0,7.095463339345782,-9.40922140811017
84,101,static,-1.5,2.0,2.5,-36.86989764584402
85,2,moving,-1.1499999999999992,7.0,7.093835351909431,-9.329539642698089
85,101,static,-1.5,2.0,2.5,-36.86989764584402
86,2,moving,-1.1399999999999992,7.0,7.092221090744422,-9.249821450297082
86,101,static,-1.5,2.0,2.5,-36.86989764584402
87,2,moving,-1.1299999999999992,7.0,7.090620565225585,-9.17006711477623
87,101,static,-1.5,2.0,2.5,-36.86989764584402
88,2,moving,-1.1199999999999992,7.0,7.089033784656411,-9.090276920822316
88,101,static,-1.5,2.0,2.5,-36.86989764584402
89,2,moving,-1.1099999999999992,7.0,7.087460758268789,-9.010451153934506
89,101,static,-1.5,2.0,2.5,-36.86989764584402
90,2,moving,-1.0999999999999992,7.0,7.08590149522275,-8.93059010041899
90,101,static,-1.5,2.0,2.5,-36.86989764584402
91,2,moving,-1.0899999999999992,7.0,7.084356004606206,-8.850694047383554
91,101,static,-1.5,2.0,2.5,-36.86989764584402
92,2,moving,-1.0799999999999992,7.0,7.082824295434696,-8.77076328273215
92,101,static,-1.5,2.0,2.5,-36.86989764584402
93,2,moving,-1.0699999999999992,7.0,7.081306376651133,-8.690798095159378
93,101,static,-1.5,2.0,2.5,-36.86989764584402
94,2,moving,-1.0599999999999992,7.0,7.0798022571255474,-8.610798774144955
94,101,static,-1.5,2.0,2.5,-36.86989764584402
95,2,moving,-1.0499999999999992,7.0,7.078311945654839,-8.530765609948126
95,101,static,-1.5,2.0,2.5,-36.86989764584402
96,2,moving,-1.0399999999999991,7.0,7.076835450962528,-8.450698893602041
96,101,static,-1.5,2.0,2.5,-36.86989764584402
97,2,moving,-1.0299999999999991,7.0,7.075372781698502,-8.370598916908081
97,101,static,-1.5,2.0,2.5,-36.86989764584402
98,2,moving,-1.0199999999999991,7.0,7.0739239464387795,-8.290465972430145
98,101,static,-1.5,2.0,2.5,-36.86989764584402
99,2,moving,-1.0099999999999991,7.0,7.072488953685258,-8.210300353488899
99,101,static,-1.5,2.0,2.5,-36.86989764584402
100,2,moving,-0.9999999999999991,7.0,7.0710678118654755,-8.130102354155971
100,101,static,-1.5,2.0,2.5,-36.86989764584402
101,2,moving,-0.9899999999999991,7.0,7.069660529332366,-8.049872269248121
101,101,static,-1.5,2.0,2.5,-36.86989764584402
102,2,moving,-0.9799999999999991,7.0,7.068267114364029,-7.969610394321352
102,101,static,-1.5,2.0,2.5,-36.86989764584402
103,2,moving,-0.9699999999999991,7.0,7.066887575163482,-7.889317025664992
103,101,static,-1.5,2.0,2.5,-36.86989764584402
104,2,moving,-0.9599999999999991,7.0,7.065521919858433,-7.808992460295726
104,101,static,-1.5,2.0,2.5,-36.86989764584402
105,2,moving,-0.9499999999999991,7.0,7.064170156501045,-7.728636995951602
105,101,static,-1.5,2.0,2.5,-36.86989764584402
106,2,moving,-0.9399999999999991,7.0,7.062832293067704,-7.6482509310859745
106,101,static,-1.5,2.0,2.5,-36.86989764584402
107,2,moving,-0.929999999999999,7.0,7.06150833745879,-7.567834564861423
107,101,static,-1.5,2.0,2.5,-36.86989764584402
108,2,moving,-0.919999999999999,7.0,7.060198297498449,-7.487388197143633
108,101,static,-1.5,2.0,2.5,-36.86989764584402
109,2,moving,-0.909999999999999,7.0,7.0589021809343695,-7.406912128495221
109,101,static,-1.5,2.0,2.5,-36.86989764584402
110,2,moving,-0.899999999999999,7.0,7.057619995437555,-7.326406660169538
110,101,static,-1.5,2.0,2.5,-36.86989764584402
111,2,moving,-0.889999999999999,7.0,7.056351748602106,-7.24587209410442
111,101,static,-1.5,2.0,2.5,-36.86989764584402
112,2,moving,-0.879999999999999,7.0,7.055097447944997,-7.165308732915911
112,101,static,-1.5,2.0,2.5,-36.86989764584402
113,2,moving,-0.869999999999999,7.0,7.053857100905859,-7.084716879891937
113,101,static,-1.5,2.0,2.5,-36.86989764584402
114,2,moving,-0.859999999999999,7.0,7.0526307148467655,-7.004096838985949
114,101,static,-1.5,2.0,2.5,-36.86989764584402
115,2,moving,-0.849999999999999,7.0,7.051418297052019,-6.923448914810524
115,101,static,-1.5,2.0,2.5,-36.86989764584402
116,2,moving,-0.839999999999999,7.0,7.050219854727936,-6.842773412630932
116,101,static,-1.5,2.0,2.5,-36.86989764584402
117,2,moving,-0.829999999999999,7.0,7.0490353950026385,-6.7620706383586615
117,101,static,-1.5,2.0,2.5,-36.86989764584402
118,2,moving,-0.819999999999999,7.0,7.047864924925846,-6.681340898544909
118,101,static,-1.5,2.0,2.5,-36.86989764584402
119,2,moving,-0.8099999999999989,7.0,7.046708451468671,-6.600584500374034
119,101,static,-1.5,2.0,2.5,-36.86989764584402
120,2,moving,-0.7999999999999989,7.0,7.045565981523414,-6.519801751656978
120,101,static,-1.5,2.0,2.5,-36.86989764584402
121,2,moving,-0.7899999999999989,7.0,7.0444375219033635,-6.4389929608246375
121,101,static,-1.5,2.0,2.5,-36.86989764584402
122,2,moving,-0.7799999999999989,7.0,7.043323079342591,-6.35815843692122
122,101,static,-1.5,2.0,2.5,-36.86989764584402
123,2,moving,-0.7699999999999989,7.0,7.042222660495761,-6.277298489597546
123,101,static,-1.5,2.0,2.5,-36.86989764584402
124,2,moving,-0.7599999999999989,7.0,7.041136271937932,-6.196413429104326
124,101,static,-1.5,2.0,2.5,-36.86989764584402
125,2,moving,-0.7499999999999989,7.0,7.0400639201643616,-6.1155035662853985
125,101,static,-1.5,2.0,2.5,-36.86989764584402
126,2,moving,-0.7399999999999989,7.0,7.039005611590319,-6.034569212570939
126,101,static,-1.5,2.0,2.5,-36.86989764584402
127,2,moving,-0.7299999999999989,7.0,7.0379613525508935,-5.9536106799706285
127,101,static,-1.5,2.0,2.5,-36.86989764584402
128,2,moving,-0.7199999999999989,7.0,7.036931149300808,-5.87262828106679
128,101,static,-1.5,2.0,2.5,-36.86989764584402
129,2,moving,-0.7099999999999989,7.0,7.035915008014238,-5.791622329007496
129,101,static,-1.5,2.0,2.5,-36.86989764584402
130,2,moving,-0.6999999999999988,7.0,7.034912934784623,-5.710593137499633
130,101,static,-1.5,2.0,2.5,-36.86989764584402
131,2,moving,-0.6899999999999988,7.0,7.033924935624491,-5.62954102080195
131,101,static,-1.5,2.0,2.5,-36.86989764584402
132,2,moving,-0.6799999999999988,7.0,7.032951016465279,-5.548466293718056
132,101,static,-1.5,2.0,2.5,-36.86989764584402
133,2,moving,-0.6699999999999988,7.0,7.0319911831571575,-5.467369271589397
133,101,static,-1.5,2.0,2.5,-36.86989764584402
134,2,moving,-0.6599999999999988,7.0,7.031045441468858,-5.386250270288198
134,101,static,-1.5,2.0,2.5,-36.86989764584402
135,2,moving,-0.6499999999999988,7.0,7.030113797087498,-5.305109606210375
135,101,static,-1.5,2.0,2.5,-36.86989764584402
136,2,moving,-0.6399999999999988,7.0,7.029196255618419,-5.223947596268417
136,101,static,-1.5,2.0,2.5,-36.86989764584402
137,2,moving,-0.6299999999999988,7.0,7.028292822585012,-5.142764557884232
137,101,static,-1.5,2.0,2.5,-36.86989764584402
138,101,static,-1.5,2.0,2.5,-36.86989764584402
139,101,static,-1.5,2.0,2.5,-36.86989764584402
140,101,static,-1.5,2.0,2.5,-36.86989764584402
141,101,static,-1.5,2.0,2.5,-36.86989764584402
142,101,static,-1.5,2.0,2.5,-36.86989764584402
143,101,static,-1.5,2.0,2.5,-36.86989764584402
144,101,static,-1.5,2.0,2.5,-36.86989764584402
145,101,static,-1.5,2.0,2.5,-36.86989764584402
146,101,static,-1.5,2.0,2.5,-36.86989764584402
147,101,static,-1.5,2.0,2.5,-36.86989764584402
148,101,static,-1.5,2.0,2.5,-36.86989764584402
149,101,static,-1.5,2.0,2.5,-36.86989764584402
150,101,static,-1.5,2.0,2.5,-36.86989764584402
151,101,static,-1.5,2.0,2.5,-36.86989764584402
152,101,static,-1.5,2.0,2.5,-36.86989764584402
153,101,static,-1.5,2.0,2.5,-36.86989764584402
154,101,static,-1.5,2.0,2.5,-36.86989764584402
155,101,static,-1.5,2.0,2.5,-36.86989764584402
156,101,static,-1.5,2.0,2.5,-36.86989764584402
157,101,static,-1.5,2.0,2.5,-36.86989764584402
158,101,static,-1.5,2.0,2.5,-36.86989764584402
159,101,static,-1.5,2.0,2.5,-36.86989764584402
160,101,static,-1.5,2.0,2.5,-36.86989764584402
161,101,static,-1.5,2.0,2.5,-36.86989764584402
162,101,static,-1.5,2.0,2.5,-36.86989764584402
163,101,static,-1.5,2.0,2.5,-36.86989764584402
164,101,static,-1.5,2.0,2.5,-36.86989764584402
165,101,static,-1.5,2.0,2.5,-36.86989764584402
166,101,static,-1.5,2.0,2.5,-36.86989764584402
167,101,static,-1.5,2.0,2.5,-36.86989764584402
168,101,static,-1.5,2.0,2.5,-36.86989764584402
169,101,static,-1.5,2.0,2.5,-36.86989764584402
170,101,static,-1.5,2.0,2.5,-36.86989764584402
171,101,static,-1.5,2.0,2.5,-36.86989764584402
172,101,static,-1.5,2.0,2.5,-36.86989764584402
173,101,static,-1.5,2.0,2.5,-36.86989764584402
174,101,static,-1.5,2.0,2.5,-36.86989764584402
175,101,static,-1.5,2.0,2.5,-36.86989764584402
176,101,static,-1.5,2.0,2.5,-36.86989764584402
177,101,static,-1.5,2.0,2.5,-36.86989764584402
178,101,static,-1.5,2.0,2.5,-36.86989764584402
179,101,static,-1.5,2.0,2.5,-36.86989764584402
180,101,static,-1.5,2.0,2.5,-36.86989764584402
181,101,static,-1.5,2.0,2.5,-36.86989764584402
182,101,static,-1.5,2.0,2.5,-36.86989764584402
183,101,static,-1.5,2.0,2.5,-36.86989764584402
184,101,static,-1.5,2.0,2.5,-36.86989764584402
185,101,static,-1.5,2.0,2.5,-36.86989764584402
186,101,static,-1.5,2.0,2.5,-36.86989764584402
187,101,static,-1.5,2.0,2.5,-36.86989764584402
188,101,static,-1.5,2.0,2.5,-36.86989764584402
189,101,static,-1.5,2.0,2.5,-36.86989764584402
190,101,static,-1.5,2.0,2.5,-36.86989764584402
191,101,static,-1.5,2.0,2.5,-36.86989764584402
192,101,static,-1.5,2.0,2.5,-36.86989764584402
193,101,static,-1.5,2.0,2.5,-36.86989764584402
194,101,static,-1.5,2.0,2.5,-36.86989764584402
195,101,static,-1.5,2.0,2.5,-36.86989764584402
196,101,static,-1.5,2.0,2.5,-36.86989764584402
197,101,static,-1.5,2.0,2.5,-36.86989764584402
198,101,static,-1.5,2.0,2.5,-36.86989764584402
199,101,static,-1.5,2.0,2.5,-36.86989764584402
200,101,static,-1.5,2.0,2.5,-36.86989764584402
201,101,static,-1.5,2.0,2.5,-36.86989764584402
202,101,static,-1.5,2.0,2.5,-36.86989764584402
203,101,static,-1.5,2.0,2.5,-36.86989764584402
204,101,static,-1.5,2.0,2.5,-36.86989764584402
205,101,static,-1.5,2.0,2.5,-36.86989764584402
206,101,static,-1.5,2.0,2.5,-36.86989764584402
207,101,static,-1.5,2.0,2.5,-36.86989764584402
208,101,static,-1.5,2.0,2.5,-36.86989764584402
209,101,static,-1.5,2.0,2.5,-36.86989764584402
210,101,static,-1.5,2.0,2.5,-36.86989764584402
211,101,static,-1.5,2.0,2.5,-36.86989764584402
212,101,static,-1.5,2.0,2.5,-36.86989764584402
213,101,static,-1.5,2.0,2.5,-36.86989764584402
214,101,static,-1.5,2.0,2.5,-36.86989764584402
215,101,static,-1.5,2.0,2.5,-36.86989764584402
216,101,static,-1.5,2.0,2.5,-36.86989764584402
217,101,static,-1.5,2.0,2.5,-36.86989764584402
218,101,static,-1.5,2.0,2.5,-36.86989764584402
219,101,static,-1.5,2.0,2.5,-36.86989764584402
220,101,static,-1.5,2.0,2.5,-36.86989764584402
221,101,static,-1.5,2.0,2.5,-36.86989764584402
222,101,static,-1.5,2.0,2.5,-36.86989764584402
223,101,static,-1.5,2.0,2.5,-36.86989764584402
224,101,static,-1.5,2.0,2.5,-36.86989764584402
225,101,static,-1.5,2.0,2.5,-36.86989764584402
226,101,static,-1.5,2.0,2.5,-36.86989764584402
227,101,static,-1.5,2.0,2.5,-36.86989764584402
228,101,static,-1.5,2.0,2.5,-36.86989764584402
229,101,static,-1.5,2.0,2.5,-36.86989764584402
230,101,static,-1.5,2.0,2.5,-36.86989764584402
231,101,static,-1.5,2.0,2.5,-36.86989764584402
232,101,static,-1.5,2.0,2.5,-36.86989764584402
233,101,static,-1.5,2.0,2.5,-36.86989764584402
234,101,static,-1.5,2.0,2.5,-36.86989764584402
235,101,static,-1.5,2.0,2.5,-36.86989764584402
236,101,static,-1.5,2.0,2.5,-36.86989764584402
237,101,static,-1.5,2.0,2.5,-36.86989764584402
238,101,static,-1.5,2.0,2.5,-36.86989764584402
239,101,static,-1.5,2.0,2.5,-36.86989764584402
240,101,static,-1.5,2.0,2.5,-36.86989764584402
241,101,static,-1.5,2.0,2.5,-36.86989764584402
242,101,static,-1.5,2.0,2.5,-36.86989764584402
243,101,static,-1.5,2.0,2.5,-36.86989764584402
244,101,static,-1.5,2.0,2.5,-36.86989764584402
245,101,static,-1.5,2.0,2.5,-36.86989764584402
246,101,static,-1.5,2.0,2.5,-36.86989764584402
247,101,static,-1.5,2.0,2.5,-36.86989764584402
248,101,static,-1.5,2.0,2.5,-36.86989764584402
249,101,static,-1.5,2.0,2.5,-36.86989764584402
250,101,static,-1.5,2.0,2.5,-36.86989764584402
251,101,static,-1.5,2.0,2.5,-36.86989764584402
252,101,static,-1.5,2.0,2.5,-36.86989764584402
253,101,static,-1.5,2.0,2.5,-36.86989764584402
254,101,static,-1.5,2.0,2.5,-36.86989764584402
255,101,static,-1.5,2.0,2.5,-36.86989764584402
256,101,static,-1.5,2.0,2.5,-36.86989764584402
257,101,static,-1.5,2.0,2.5,-36.86989764584402
258,101,static,-1.5,2.0,2.5,-36.86989764584402
259,101,static,-1.5,2.0,2.5,-36.86989764584402
260,101,static,-1.5,2.0,2.5,-36.86989764584402
261,101,static,-1.5,2.0,2.5,-36.86989764584402
262,101,static,-1.5,2.0,2.5,-36.86989764584402
263,2,moving,0.6300000000000022,7.0,7.028292822585013,5.14276455788426
263,101,static,-1.5,2.0,2.5,-36.86989764584402
264,2,moving,0.6400000000000022,7.0,7.029196255618419,5.223947596268444
264,101,static,-1.5,2.0,2.5,-36.86989764584402
265,2,moving,0.6500000000000022,7.0,7.030113797087498,5.305109606210403
265,101,static,-1.5,2.0,2.5,-36.86989764584402
266,2,moving,0.6600000000000023,7.0,7.031045441468858,5.386250270288225
266,101,static,-1.5,2.0,2.5,-36.86989764584402
267,2,moving,0.6700000000000023,7.0,7.0319911831571575,5.467369271589424
267,101,static,-1.5,2.0,2.5,-36.86989764584402
268,2,moving,0.6800000000000023,7.0,7.0329510164652795,5.548466293718085
268,101,static,-1.5,2.0,2.5,-36.86989764584402
269,2,moving,0.6900000000000023,7.0,7.0339249356244915,5.6295410208019785
269,101,static,-1.5,2.0,2.5,-36.86989764584402
270,2,moving,0.7000000000000023,7.0,7.034912934784623,5.710593137499662
270,101,static,-1.5,2.0,2.5,-36.86989764584402
271,2,moving,0.7100000000000023,7.0,7.035915008014238,5.791622329007524
271,101,static,-1.5,2.0,2.5,-36.86989764584402
272,2,moving,0.7200000000000023,7.0,7.036931149300809,5.872628281066818
272,101,static,-1.5,2.0,2.5,-36.86989764584402
273,2,moving,0.7300000000000023,7.0,7.0379613525508935,5.953610679970657
273,101,static,-1.5,2.0,2.5,-36.86989764584402
274,2,moving,0.7400000000000023,7.0,7.039005611590319,6.0345692125709665
274,101,static,-1.5,2.0,2.5,-36.86989764584402
275,2,moving,0.7500000000000023,7.0,7.0400639201643616,6.115503566285426
275,101,static,-1.5,2.0,2.5,-36.86989764584402
276,2,moving,0.7600000000000023,7.0,7.0411362719379325,6.1964134291043536
276,101,static,-1.5,2.0,2.5,-36.86989764584402
277,2,moving,0.7700000000000023,7.0,7.042222660495762,6.277298489597573
277,101,static,-1.5,2.0,2.5,-36.86989764584402
278,2,moving,0.7800000000000024,7.0,7.043323079342591,6.358158436921248
278,101,static,-1.5,2.0,2.5,-36.86989764584402
279,2,moving,0.7900000000000024,7.0,7.0444375219033635,6.438992960824665
279,101,static,-1.5,2.0,2.5,-36.86989764584402
280,2,moving,0.8000000000000024,7.0,7.045565981523415,6.519801751657005
280,101,static,-1.5,2.0,2.5,-36.86989764584402
281,2,moving,0.8100000000000024,7.0,7.046708451468672,6.600584500374062
281,101,static,-1.5,2.0,2.5,-36.86989764584402
282,2,moving,0.8200000000000024,7.0,7.047864924925846,6.681340898544938
282,101,static,-1.5,2.0,2.5,-36.86989764584402
283,2,moving,0.8300000000000024,7.0,7.0490353950026385,6.76207063835869
283,101,static,-1.5,2.0,2.5,-36.86989764584402
